S/N,ACTIVITIES DESCRIPTION (ITEM),DELEGATION NO. (QTY.), AMT NAIRA (ESTIMATED/UNIT PRICE),QTY.,"ADDITIONAL INFO.
(TOTAL COST)",REMARKS
(A.) HAEMATINICS ,,,,,,
68,Tabs Pantoprazole 20mg pk of 30,50 pcks.,"8,350",50,"₦417,500.00",
69,Susp. Antacid ,50 bottles,0,50,₦0.00,
70,Susp. Jawasil,50 bottles,"2,645",50,"₦132,250.00",
71,IV Omeprazole 40mg,50 vials,"2,645",50,"₦132,250.00",
72,IV Rabeprazole 20mg,30 vials,"2,875",30,"₦86,250.00",
73,IV Nexium 20mg,20 vials,"4,255",20,"₦85,100.00",
74,Tab Getzome dispersible (Omeprazole 20mg),30 pcks.,"2,530",30,"₦75,900.00",
75,Tab Getzome dispersible (Omeprazole 40mg),50 pcks.,"3,335",50,"₦166,750.00",
76,IV Pantoprazole 20mg,30 vials ,"6,440",30,"₦193,200.00",
77,Inj Cimetidine 200mg pk of 10 vials,6 pcks.,"2,645",6,"₦15,870.00",
78,Tab Elicorid pk of 100,10 pcks.,"40,250",10,"₦402,500.00",
(G.) ANTI-DIARRHOEAL,,,,,₦0.00,
79,Tab. Loperamide 2mg pk of 10,200 pcks.,575,200,"₦115,000.00",
80,Zinc 20mg tab pk of 30,100 pcks.,518,100,"₦51,750.00",
81,Oral Rehydration Salt,50 pcks.,575,50,"₦28,750.00",
(H.) ANTI-MALARIAL,,,,,₦0.00,
82,Tab. Artemether/Lumefantrine 80/480mg (Chemiron) pk of 6,100 pks,"17,250",100,"₦1,725,000.00",
83,Tab P-Alaxin DS 80/640mg,100 pcks.,"1,670",100,"₦167,000.00",
84,Tab Synriam 10+750mg pk of 3,60 pack,"8,450",60,"₦507,000.00",
85,Tab Coartem dispersible 20/120,100 pcks.,"17,250",100,"₦1,725,000.00",
86,Tabs Amatem Softgel 80/480mg,100 pcks.,"2,130",100,"₦213,000.00",
87,Inj. Emal 150mg/2mL pk of 3,100 pcks.,"5,750",100,"₦575,000.00",
88,Inj. Arteether 150mg/2mL (Voartherm) pk of 3,100 pcks. ,"55,200",100,"₦5,520,000.00",
89,Inj. Artemether 80mg/mL,50 pcks.,"21,850",50,"₦1,092,500.00",
90,Tab Coartem DS (80/480mg) pk of 6,100 pcks.,"4,370",100,"₦437,000.00",
91,Tab. Lonart DS 80/480mg pk of 6,100 pcks. ,"4,140",100,"₦414,000.00",
92,IV Artesunate 120mg,50 vials,"2,070",50,"₦103,500.00",
93,IV Artesun 120mg,50 vials,0,50,₦0.00,
94,Tab Palludrine 100mg pk of 28,30 pcks.,"4,025",30,"₦120,750.00",
(I.) ANTI-BACTERIAL,,,,,₦0.00,
95,Tab. Clarithromycin 500mg pk of 10,100 pcks.,"2,300",100,"₦230,000.00",
